Rank,Team,Record,Points,Year,W,L,W%
1,Uconn,31-8,800,2023,31,8,79.49%
2,San Diego State,32-7,688,2023,32,7,82.05%
3,Miami,29-8,665,2023,29,8,78.38%
4,Alabama,31-6,629,2023,31,6,83.78%
5,Florida Atlantic,35-4,615,2023,35,4,89.74%
6,Houston,33-4,614,2023,33,4,89.19%
7,Texas,29-9,587,2023,29,9,76.32%
8,UCLA,31-6,532,2023,31,6,83.78%
9,Kansas State,26-10,516,2023,26,10,72.22%
10,Gonzaga,31-6,514,2023,31,6,83.78%
11,Kansas,28-8,434,2023,28,8,77.78%
12,Creighton,24-13,426,2023,24,13,64.86%
13,Purdue,29-6,424,2023,29,6,82.86%
14,Marquette,29-7,422,2023,29,7,80.56%
15,Xavier,27-10,332,2023,27,10,72.97%
16,Tennessee,25-11,284,2023,25,11,69.44%
17,Arizona,28-7,282,2023,28,7,80.00%
18,Duke,27-9,232,2023,27,9,75.00%
19,Baylor,23-11,216,2023,23,11,67.65%
20,Michigan State,21-13,203,2023,21,13,61.76%
21,Arkansas,22-14,174,2023,22,14,61.11%
22,Saint Mary's,27-8,149,2023,27,8,77.14%
23,Virginia,25-8,112,2023,25,8,75.76%
24,Indiana,23-12,97,2023,23,12,65.71%
25,Texas A&M,25-10,88,2023,25,10,71.43%
1,Kansas,34-6,800,2022,34,6,85.00%
2,North Carolina,29-10,741,2022,29,10,74.36%
3,Duke,32-7,706,2022,32,7,82.05%
4,Villanova,30-8,705,2022,30,8,78.95%
5,Gonzaga,28-4,644,2022,28,4,87.50%
6,Arizona,33-4,619,2022,33,4,89.19%
7,Houston,32-6,540,2022,32,6,84.21%
8,Arkansas,28-9,518,2022,28,9,75.68%
9,Baylor,27-7,499,2022,27,7,79.41%
10,Purdue,29-8,463,2022,29,8,78.38%
11,UCLA,27-8,453,2022,27,8,77.14%
12,Texas Tech,27-10,440,2022,27,10,72.97%
13,Providence,27-6,400,2022,27,6,81.82%
14,Auburn,28-6,386,2022,28,6,82.35%
15,Tennessee,27-8,379,2022,27,8,77.14%
16,Miami,26-11,264,2022,26,11,70.27%
17,Kentucky,26-8,264,2022,26,8,76.47%
18,Wisconsin,25-8,228,2022,25,8,75.76%
19,Illinois,23-10,223,2022,23,10,69.70%
20,Saint Mary's,26-8,149,2022,26,8,76.47%
21,Iowa,26-10,133,2022,26,10,72.22%
22,Murray State,31-3,115,2022,31,3,91.18%
23,Iowa State,22-13,112,2022,22,13,62.86%
24,Saint Peter's,22-12,111,2022,22,12,64.71%
25,Michigan,19-15,108,2022,19,15,55.88%
1,Baylor(32),28-2,800,2021,28,2,93.33%
2,Gonzaga,31-1,768,2021,31,1,96.88%
3,Houston,28-4,714,2021,28,4,87.50%
4,Michigan,23-5,655,2021,23,5,82.14%
5,Alabama,26-7,623,2021,26,7,78.79%
6,Arkansas,25-7,599,2021,25,7,78.13%
7,UCLA,22-10,590,2021,22,10,68.75%
8,Illinois,24-7,527,2021,24,7,77.42%
9,USC,25-8,467,2021,25,8,75.76%
10,Florida State,18-7,451,2021,18,7,72.00%
11,Villanova,18-7,409,2021,18,7,72.00%
12,Loyola Chicago,26-5,407,2021,26,5,83.87%
13,Iowa,22-9,404,2021,22,9,70.97%
14,Creighton,22-9,340,2021,22,9,70.97%
15,Ohio State,21-10,303,2021,21,10,67.74%
16,Kansas,21-9,295,2021,21,9,70.00%
17,Oregon,21-7,280,2021,21,7,75.00%
18,West Virginia,19-10,277,2021,19,10,65.52%
19,Oklahoma State,21-9,250,2021,21,9,70.00%
20,Oregon State,20-13,229,2021,20,13,60.61%
21,Texas,19-8,151,2021,19,8,70.37%
22,Texas Tech,18-11,148,2021,18,11,62.07%
23,Colorado,23-9,136,2021,23,9,71.88%
24,Virginia,18-7,131,2021,18,7,72.00%
25,Syracuse,18-10,112,2021,18,10,64.29%
1,Kansas,28-3,795,2020,28,3,90.32%
2,Gonzaga,31-2,760,2020,31,2,93.94%
3,Dayton,29-2,741,2020,29,2,93.55%
4,Baylor,26-4,677,2020,26,4,86.67%
5,Florida State,26-5,656,2020,26,5,83.87%
6,San Diego State,30-2,601,2020,30,2,93.75%
7,Kentucky,25-6,569,2020,25,6,80.65%
8,Duke,25-6,507,2020,25,6,80.65%
9,Villanova,24-7,501,2020,24,7,77.42%
10,Creighton,24-7,501,2020,24,7,77.42%
11,Maryland,24-7,486,2020,24,7,77.42%
12,Michigan State,22-9,472,2020,22,9,70.97%
13,Louisville,24-7,427,2020,24,7,77.42%
14,Oregon,24-7,405,2020,24,7,77.42%
15,Seton Hall,21-9,387,2020,21,9,70.00%
16,BYU,24-8,306,2020,24,8,75.00%
17,Virginia,23-7,224,2020,23,7,76.67%
18,Ohio State,21-10,218,2020,21,10,67.74%
19,Wisconsin,21-10,216,2020,21,10,67.74%
20,Auburn,25-6,213,2020,25,6,80.65%
21,Butler,22-9,130,2020,22,9,70.97%
22,Illinois,21-10,124,2020,21,10,67.74%
23,Houston,23-8,110,2020,23,8,74.19%
24,West Virginia,21-10,109,2020,21,10,67.74%
25,Iowa,20-11,91,2020,20,11,64.52%
1,Virginia,35-3,800,2019,35,3,92.11%
2,Texas Tech,31-7,767,2019,31,7,81.58%
3,Michigan State,32-7,722,2019,32,7,82.05%
4,Duke,32-6,667,2019,32,6,84.21%
5,Auburn,30-10,665,2019,30,10,75.00%
6,Gonzaga,33-4,633,2019,33,4,89.19%
7,Kentucky,30-7,590,2019,30,7,81.08%
8,Purdue,26-10,563,2019,26,10,72.22%
9,North Carolina,29-7,552,2019,29,7,80.56%
10,Tennessee,31-6,535,2019,31,6,83.78%
11,Michigan,30-7,485,2019,30,7,81.08%
12,Houston,33-4,470,2019,33,4,89.19%
13,Florida State,29-8,409,2019,29,8,78.38%
